Algeria,https://zenodo.org/record/5751794/files/Algeria Base SAND.xlsm
Angola,https://zenodo.org/record/7526314/files/Angola_Base_SAND.xlsm
Argentina,https://zenodo.org/record/7526317/files/Argentina Base SAND.xlsm
Benin,https://zenodo.org/record/7526324/files/Benin Base SAND.xlsm
Bolivia,https://zenodo.org/record/7526325/files/Bolivia Base SAND.xlsm
Botswana,https://zenodo.org/record/7526326/files/Botswana Base SAND.xlsm
Brazil,https://zenodo.org/record/7526327/files/Brazil Base SAND.xlsm
Burkina Faso,https://zenodo.org/record/7526328/files/Burkina Faso Base SAND.xlsm
Burundi,https://zenodo.org/record/7526329/files/Burundi Base SAND.xlsm
Cambodia,https://zenodo.org/record/7526330/files/Cambodia Base SAND.xlsm
Cameroon,https://zenodo.org/record/7526331/files/Cameroon Base SAND.xlsm
Chad,https://zenodo.org/record/7526333/files/Chad Base SAND.xlsm
Chile,https://zenodo.org/record/7526334/files/Chile Base SAND.xlsm
Colombia,https://zenodo.org/record/7526335/files/Colombia Base SAND.xlsm
Cote d'Ivoire,https://zenodo.org/record/7526338/files/Cote D'Ivoire Base SAND.xlsm
Democratic Republic of Congo,https://zenodo.org/record/7526337/files/CongoDemRep Base SAND.xlsm
Djibouti,https://zenodo.org/record/7526339/files/Djibouti Base SAND.xlsm
Ecuador,https://zenodo.org/record/7526340/files/Ecuador Base SAND.xlsm
Egypt,https://zenodo.org/record/7526341/files/Egypt Base SAND.xlsm
Equatorial Guinea,https://zenodo.org/record/7526342/files/Equatorial Guinea Base SAND.xlsm
Eritrea,https://zenodo.org/record/7526343/files/Eritrea Base SAND.xlsm
Eswatini,https://zenodo.org/record/7538937/files/Eswatini Base SAND.xlsm
Ethiopia,https://zenodo.org/record/7538968/files/Ethiopia Base SAND.xlsm
Gabon,https://zenodo.org/record/7538982/files/Gabon Base SAND.xlsm
Gambia,https://zenodo.org/record/7539007/files/Gambia Base SAND.xlsm
Ghana,https://zenodo.org/record/7539012/files/Ghana Base SAND.xlsm
Guinea,https://zenodo.org/record/7539053/files/Guinea Base SAND.xlsm
Guinea-Bissau,https://zenodo.org/record/7539030/files/Guinea Bissau Base SAND.xlsm
Indonesia,https://zenodo.org/record/7539093/files/Indonesia Base SAND.xlsm
Kenya,https://zenodo.org/record/7539097/files/Kenya Base SAND.xlsm
Laos,https://zenodo.org/record/7539123/files/Lao Base SAND.xlsm
Lesotho,https://zenodo.org/record/7539124/files/Lesotho Base SAND.xlsm
Liberia,https://zenodo.org/record/7539162/files/Liberia Base SAND.xlsm
Libya,https://zenodo.org/record/7539255/files/Libya Base SAND.xlsm
Malawi,https://zenodo.org/record/7539262/files/Malawi Base SAND.xlsm
Malaysia,https://zenodo.org/record/7539356/files/Malaysia Base SAND.xlsm
Mali,https://zenodo.org/record/7539414/files/Mali_Base_SAND.xlsm
Mauritania,https://zenodo.org/record/7539448/files/Mauritania Base SAND.xlsm
Morocco,https://zenodo.org/record/7539469/files/Morocco Base SAND.xlsm
Mozambique,https://zenodo.org/record/7539477/files/Mozambique Base SAND.xlsm
Myanmar,https://zenodo.org/record/7539481/files/Myanmar Base SAND.xlsm
Namibia,https://zenodo.org/record/7539485/files/Namibia Base SAND.xlsm
Niger,https://zenodo.org/record/7539495/files/Niger Base SAND.xlsm
Nigeria,https://zenodo.org/record/7539506/files/Nigeria Base SAND.xlsm
Papua New Guinea,https://zenodo.org/record/7539509/files/Papua New Guinea Base SAND.xlsm
Paraguay,https://zenodo.org/record/7539522/files/Paraguay Base SAND.xlsm
Peru,https://zenodo.org/record/7539558/files/Peru Base SAND.xlsm
Philippines,https://zenodo.org/record/7540259/files/Philippines Base SAND.xlsm
Republic of Congo,https://zenodo.org/record/7526336/files/Republic_of_Congo_Base_SAND.xlsm
Rwanda,https://zenodo.org/record/7540320/files/Rwanda Base SAND.xlsm
Senegal,https://zenodo.org/record/7540414/files/Senegal Base SAND.xlsm
Sierra Leone,https://zenodo.org/record/7540460/files/Sierra Leone Base SAND.xlsm
Somalia,https://zenodo.org/record/7540465/files/Somalia Base SAND.xlsm
South Africa,https://zenodo.org/record/7540548/files/South Africa Base SAND.xlsm
South Korea,https://zenodo.org/record/7540262/files/Republic of Korea Base SAND.xlsm
South Sudan,https://zenodo.org/record/7540557/files/SouthSudan Base SAND.xlsm
Sudan,https://zenodo.org/record/4756665/files/Sudan Base SAND.xlsm
Taiwan,https://zenodo.org/record/6542398/files/Taiwan Base SAND.xlsm
Tanzania,https://zenodo.org/record/7540848/files/Tanzania Base SAND.xlsm
Thailand,https://zenodo.org/record/7541032/files/Thailand Base SAND.xlsm
Togo,https://zenodo.org/record/7541512/files/Togo Base SAND.xlsm
Tunisia,https://zenodo.org/record/7541154/files/Tunisia Base SAND.xlsm
Uganda,https://zenodo.org/record/7542330/files/Uganda Base SAND.xlsm
Uruguay,https://zenodo.org/record/7542364/files/Uruguay Base SAND.xlsm
Venezuela,https://zenodo.org/record/7542423/files/Venezuela Base SAND.xlsm
Vietnam,https://zenodo.org/record/7541226/files/Vietnam Base SAND.xlsm
Zambia,https://zenodo.org/record/7541227/files/Zambia Base SAND.xlsm
Zimbabwe,https://zenodo.org/record/7541285/files/Zimbabwe Base SAND.xlsm
Central African Republic,https://zenodo.org/record/4756736/files/Central African Republic SAND.xlsm
